DateTime	UAStime	CONCN	COUNT	ABSRA	ABSRB	ABSGA	ABSGB	ABSBA	ABSBB	CHMPS	AT	RH	BATTV	OPCB4	OPCB5	OPCB6	OPCB7	OPCB8	PROBT	PRBRH	SMPFL	SMPFP	SATFL	SATFP	ABSFL	ABSFP	CHMFL	CHMFP	OPCFL	OPCFP	OPTCT	OPTCP	CONDT	CONDP	SATTT	SATTP	SATBT	SATBP	INLTT	FILLC	CABNT	CABNP	PRESS	MCPCPWR	ABSLED	CHEMPOS	MPUMP	APUMP	CPUMP	OPUMP	SAMPRPT	STATRPT	RPTLABEL	SAMPFLOW	SATFLOW	ABSFLOW	CHEMFLOW	OPCFLOW	POP
2015-04-24 13:02:51	306171	22.3	131	425572	469593	482009	550199	413535	482261	1	-2.86	53.95	11.7	0	0	0	0	0	-39.9	0	350	115	375	64	1599	154	1947	200	180.4	115	23.1	200	14.8	130	29.1	200	29.2	200	12.7	216	14.1	0	1004																POPS,20150421T071.944,1, 733.00, 0,   0.00,    NaN,    NaN,  21, 183, 242,4,  17,   7,   0
2015-04-24 13:02:52	306172	9.41	58	425900	469958	481965	550150	413899	482691	1	-2.87	54.06	11.7	0	0	0	0	0	-39.9	0	362	115	348	64	1599	154	1944	200	180.4	115	23.1	200	14.8	130	29.2	200	29.2	200	12.7	218	14.1	0	1004																POPS,20150421T073,1,
2015-04-24 13:02:53	306173	20.4	120	426001	470072	481958	550138	414035	482846	1	-2.87	54.06	11.7	0	0	0	0	0	-39.9	0	359	115	364	65	1599	154	1929	200	180.3	115	23.2	200	14.8	130	29.3	200	29.3	200	12.7	220	14.1	0	1004																POPS,20150421T073823.9,   1.00,1002.00aN,    NaN,  33, 198, 246, 247,  43,  15 3
2015-04-24 13:02:54	306174	10.5	63	425648	469679	481998	550188	414268	483120	1	-2.89	54.17	11.7	0	0	0	0	0	-39.9	0	352	115	363	64	1599	154	1924	200	180.7	115	23.3	200	14.8	130	29.4	200	29.4	200	12.7	222	14.1	0	1004																POPS,20150421T073824.942,1,
2015-04-24 13:02:55	306175	14.3	86	426050	470119	481979	550165	413931	482723	1	-2.89	54.17	11.7	0	0	0	0	0	-39.9	0	361	115	357	64	1600	154	1936	200	180.6	115	23.3	200	14.8	130	29.5	200	29.5	200	12.7	224	14.1	0	1004																POPS,20150421T07941,1, 651.00,      0.00,    NaN,    NaN,  20, 140, 191, 2  13,   0,   2
2015-04-24 13:02:56	306176	15.7	94	426066	470141	482053	550246	413759	482517	1	-2.88	54.19	11.7	0	0	0	0	0	-39.9	0	357	115	359	64	1598	154	1941	200	180.7	115	23.4	200	14.8	130	29.5	200	29.6	200	12.7	226	14.1	0	1004																POPS,20150421T073826.940,1,
2015-04-24 13:02:57	306177	11.3	69	426254	470350	482058	550257	414122	482951	1	-2.88	54.19	11.7	0	0	0	0	0	-39.9	0	359	115	360	64	1600	154	1944	200	180.8	115	23.5	200	14.8	130	29.6	200	29.7	200	12.7	228	14.2	0	1004																POPS,20150421T07942,1, 631.00,     20.00,    NaN,    NaN,  16, 159, 212, ,   5,   1,   0
2015-04-24 13:02:58	306178	9.21	56	426075	470160	482050	550246	414232	483086	1	-2.89	54.28	11.7	0	0	0	0	0	-39.9	0	365	115	353	64	1599	154	1944	200	180.6	115	23.5	200	14.8	130	29.7	200	29.7	200	12.7	230	14.2	0	1004																POPS,20150421T073828.949,1,
2015-04-21 07:38:32	27512	7.47	46	426090	470174	481943	550129	414355	483227	1	-2.89	54.28	11.7	0	0	0	0	0	-39.9	0	360	115	358	64	1600	154	1943	200	180.7	115	23.6	200	14.8	130	29.8	200	29.8	200	12.7	232	14.2	0	1004																POPS,20150421T073830.943,1, 608.00,   1.00,1006.00,   0.00,    NaN,    NaN,  14, 134, 220, 196,  35,   7,   1,   1
2015-04-21 07:38:34	27514	17.0	100	426004	470081	482045	550241	414248	483099	1	-2.92	54.37	11.7	0	0	0	0	0	-39.9	0	353	115	371	64	1598	154	1924	200	180.6	115	23.8	200	14.8	130	30.0	200	30.0	200	12.7	238	14.2	0	1004																POPS,20150421T071005.00,   0.00,    NaN,  18, 141, 220, 189,  41,   6,   0,   0
