Time_s,Status,Flow_Rate_ccps,Particle_rate_nops,12V_Mon,A1,A2,A3,Therm_1,Therm_2,TiltRef,POPS_Flow,POPS_P,ULR_AZ_Home,ULR_PD_T,ULR_Incl_x,ULR_Incl_y,ULR_Incl_T,POPS_LD_T,POPS_T_LED,POPS_LP_Set,MeanBL,stdDevBL
3512447270.523,1,1.000,0.000,10.853,2.160,3.690,0.009,-79.318,-79.322,2.372,0.043,127.089,0.314,119.232,-0.008,-0.009,-49.987,25.472,-112.563,1.000,1005.000,0.000
3512447271.525,1,1.000,71.000,10.880,2.158,3.691,0.009,-79.315,-79.322,2.341,0.044,126.739,0.314,119.163,-0.007,-0.009,-49.987,25.482,-112.519,1.000,1003.000,18.000
3512447272.533,1,1.000,506.000,11.046,2.156,3.691,0.009,-79.306,-79.312,2.330,0.044,126.396,0.313,119.092,-0.007,-0.009,-49.987,25.494,-112.607,1.000,1005.000,0.000
3512447273.534,1,1.000,545.000,11.068,2.153,3.691,0.009,-79.306,-79.311,2.325,0.044,126.012,0.313,119.011,-0.007,-0.009,-49.987,25.505,-112.718,1.000,1002.000,12.000
3512447274.534,1,1.000,586.000,11.168,2.152,3.692,0.009,-79.308,-79.310,2.323,0.044,125.683,0.313,118.945,-0.007,-0.009,-49.987,25.516,-112.718,1.000,1006.000,26.000
3512447275.533,1,1.000,546.000,11.009,2.149,3.691,0.009,-79.306,-79.315,2.322,0.044,125.405,0.312,118.902,-0.007,-0.009,-49.986,25.527,-112.786,1.000,1004.000,24.000
3512447276.534,1,1.000,554.000,10.985,2.146,3.692,0.009,-79.300,-79.314,2.321,0.044,125.068,0.312,118.836,-0.007,-0.009,-49.986,25.538,-112.629,1.000,1002.000,0.000
3512447277.535,1,1.000,585.000,11.124,2.144,3.692,0.009,-79.304,-79.311,2.321,0.044,124.689,0.311,118.754,-0.007,-0.009,-49.987,25.548,-112.629,1.000,1007.000,0.000
3512447278.534,1,1.000,575.000,11.160,2.142,3.692,0.009,-79.301,-79.306,2.321,0.044,124.349,0.311,118.678,-0.007,-0.009,-49.987,25.559,-112.696,1.000,1002.000,0.000
3512447279.535,1,1.000,578.000,11.154,2.139,3.693,0.009,-79.302,-79.308,2.321,0.044,124.148,0.311,118.645,-0.007,-0.009,-49.987,25.570,-112.563,1.000,1003.000,25.000
3512447280.534,1,1.000,554.000,11.163,2.136,3.692,0.009,-79.304,-79.319,2.321,0.044,123.781,0.310,118.569,-0.007,-0.009,-49.987,25.582,-112.607,1.000,1004.000,12.000
3512447281.533,1,1.000,533.000,10.992,2.134,3.692,0.009,-79.300,-79.305,2.320,0.044,123.463,0.310,118.501,-0.007,-0.009,-49.987,25.590,-112.673,1.000,1005.000,31.000
3512447282.534,1,1.000,540.000,11.155,2.131,3.693,0.009,-79.300,-79.303,2.320,0.044,123.170,0.310,118.430,-0.007,-0.009,-49.987,25.601,-112.541,1.000,1004.000,18.000
3512447283.534,1,1.000,543.000,11.157,2.129,3.693,0.009,-79.302,-79.303,2.321,0.044,122.900,0.309,118.385,-0.007,-0.009,-49.987,25.614,-112.718,1.000,1003.000,22.000
3512447284.535,1,1.000,588.000,10.660,2.125,3.693,0.009,-79.300,-79.314,2.283,0.044,122.646,0.309,118.337,-0.007,-0.008,-49.986,25.622,-112.585,1.000,1005.000,0.000
